,id,osm_id,lons,lats,Straße
63,63,167317614,1013344.5863522494 1013354.6941620136 1013355.6515096343 1013345.5325679212 1013344.5863522494 ,7206765.488710097 7206766.459090194 7206756.526970193 7206755.5756183565 7206765.488710097 ,Rüsdorfer Straße
64,64,167317618,1013692.7937194508 1013710.2040878109 1013714.7570549845 1013697.3355546753 1013692.7937194508 ,7206377.7077710815 7206382.350146058 7206365.283723656 7206360.641358749 7206377.7077710815 ,Berliner Straße
65,65,167317620,1013360.2267407059 1013371.1917105492 1013372.6611278276 1013361.7072899337 1013360.2267407059 ,7206840.455681747 7206841.44509833 7206824.986550147 7206823.997135633 7206840.455681747 ,Rüsdorfer Straße
66,66,167317623,1013795.5416094532 1013828.0580327136 1013840.3922322938 1013807.8869409822 1013795.5416094532 ,7206429.249702696 7206460.395729132 7206447.495893815 7206416.349918464 7206429.249702696 ,Rüsdorfer Straße
67,67,167317625,1013435.4341886861 1013449.2378055443 1013450.607035281 1013436.8145503718 1013435.4341886861 ,7206878.015544875 7206879.366485539 7206865.324324855 7206863.973386598 7206878.015544875 ,Stettiner Straße
68,68,167317627,1013500.7342019852 1013508.6490177808 1013516.5749655251 1013508.6601497298 1013500.7342019852 ,7206728.785598005 7206738.375197078 7206731.848940884 7206722.240322813 7206728.785598005 ,Rüsdorfer Straße
69,69,167317631,1013518.5787163595 1013525.9591985991 1013533.2172293988 1013525.8256152102 1013518.5787163595 ,7206716.322942084 7206725.512959731 7206719.671684331 7206710.48167351 7206716.322942084 ,Rüsdorfer Straße
70,70,167317633,1013847.6391311444 1013851.9360634888 1013835.5498344443 1013832.3772289566 1013847.6391311444 ,7206414.1428778535 7206404.382438443 7206399.587841066 7206410.35666308 7206414.1428778535 ,Berliner Straße
71,71,167317635,1013699.8402432181 1013721.4807522283 1013734.7055077346 1013713.0649987243 1013699.8402432181 ,7206509.845293859 7206535.968640753 7206525.009381968 7206498.886071477 7206509.845293859 ,Rüsdorfer Straße
72,72,167317639,1013486.9083212289 1013499.7991182626 1013510.0293794665 1013497.1274504836 1013486.9083212289 ,7206273.635575886 7206276.698741483 7206233.7003770135 7206230.637228164 7206273.635575886 ,Berliner Straße
73,73,167317641,1013468.0062716921 1013478.8821859426 1013489.8026279893 1013478.9378456881 1013468.0062716921 ,7206702.338153227 7206717.217208339 7206709.244923388 7206694.34685647 7206702.338153227 ,Rüsdorfer Straße
74,74,167317642,1013454.514349408 1013447.4900895389 1013460.6703172488 1013467.6834451689 1013454.514349408 ,7206217.947052765 7206253.696489833 7206256.284001966 7206220.534553136 7206217.947052765 ,Berliner Straße
75,75,167317645,1013579.7265126522 1013567.7819312902 1013575.6410873401 1013587.5856687023 1013579.7265126522 ,7206669.592914963 7206678.630663214 7206689.019329815 7206680.000596485 7206669.592914963 ,Rüsdorfer Straße
76,76,167317647,1013653.3086960667 1013676.218247272 1013680.760082496 1013658.6965594209 1013653.3086960667 ,7206292.35705384 7206298.521452672 7206279.742882393 7206272.874541136 7206292.35705384 ,Berliner Straße
77,77,167317648,1013278.1842759915 1013297.075193579 1013293.6576852115 1013274.7556356749 1013278.1842759915 ,7206801.278690415 7206797.263963617 7206781.12896854 7206785.143687099 7206801.278690415 ,Rüsdorfer Straße
78,78,167317649,1013801.6307855996 1013809.445413853 1013794.2169075125 1013786.4022792589 1013801.6307855996 ,7206477.043777962 7206468.082366726 7206454.801992633 7206463.744362408 7206477.043777962 ,Rüsdorfer Straße
79,79,167317655,1013865.9511873799 1013896.564047348 1013901.5511605354 1013870.9383005673 1013865.9511873799 ,7206504.308601476 7206512.432890264 7206493.672835627 7206485.548566218 7206504.308601476 ,Rüsdorfer Straße
80,80,167317657,1013649.5794931249 1013660.0323933103 1013670.4741615468 1013660.0212613613 1013649.5794931249 ,7206617.402500363 7206631.215897574 7206623.300779951 7206609.5064233225 7206617.402500363 ,Rüsdorfer Straße
81,81,167317658,1013820.24340446 1013815.456666356 1013842.3737192297 1013847.160457334 1013820.24340446 ,7206599.6886614775 7206611.7705988195 7206622.425551086 7206610.362624059 7206599.6886614775 ,Hans-Böckler-Straße
82,82,167317659,1013338.8311345755 1013337.6734118713 1013357.009607422 1013358.1784620754 1013338.8311345755 ,7206821.847062208 7206834.1576675465 7206835.984281417 7206823.654646019 7206821.847062208 ,Rüsdorfer Straße
83,83,167317660,1013754.7875438738 1013764.4946034709 1013776.3167333931 1013766.620805745 1013754.7875438738 ,7206538.575272262 7206551.113752689 7206541.961991865 7206529.423526029 7206538.575272262 ,Rüsdorfer Straße
84,84,167317663,1013681.8955413022 1013677.0197476054 1013689.3873430329 1013694.2074769841 1013681.8955413022 ,7206690.579533678 7206698.51374591 7206705.801051007 7206697.92391211 7206690.579533678 ,Neue Heimat
85,85,167317664,1013480.2514156793 1013492.7080666991 1013507.157336604 1013494.7006855843 1013480.2514156793 ,7206689.761377955 7206705.705916433 7206694.422964024 7206678.478448418 7206689.761377955 ,Rüsdorfer Straße
86,86,167317665,1013412.9587834948 1013426.3393862881 1013426.8737198439 1013413.4819851016 1013412.9587834948 ,7206908.30711531 7206908.801827853 7206894.131711354 7206893.636999731 7206908.30711531 ,Stettiner Straße
87,87,167317666,1013470.1102100681 1013484.3257090423 1013489.8471557858 1013475.6316568113 1013470.1102100681 ,7206241.672179934 7206245.838829542 7206226.9462305065 7206222.798616655 7206241.672179934 ,Berliner Straße
88,88,167317667,1013310.8120187427 1013324.0590381471 1013320.2853074094 1013316.3779932824 1013307.0382880048 1013310.8120187427 ,7206801.069391809 7206798.23434763 7206780.577182738 7206781.414375008 7206783.412220549 7206801.069391809 ,Rüsdorfer Straße
89,89,167317668,1013888.7939468906 1013851.6466328128 1013840.147329414 1013861.4093521555 1013855.2422523656 1013849.0640206265 1013845.1121787035 1013867.1868337276 1013888.7939468906 ,7206362.3156539695 7206344.526285444 7206368.518159838 7206378.716155575 7206391.577825771 7206388.628772315 7206396.867098615 7206407.445654969 7206362.3156539695 ,Berliner Straße
90,90,167317669,1013843.7429489668 1013857.0456281163 1013865.2387426387 1013851.9360634888 1013847.6391311444 1013843.7429489668 ,7206423.009096476 7206428.8691777885 7206410.223479677 7206404.382438443 7206414.1428778535 7206423.009096476 ,Rüsdorfer Straße
91,91,167317671,1013829.0933039781 1013849.5538263859 1013852.0028551833 1013854.5409395734 1013834.0915491149 1013829.0933039781 ,7206511.88112331 7206518.026667748 7206509.883346742 7206501.4165850105 7206495.271053553 7206511.88112331 ,Rüsdorfer Straße
92,92,167317672,1013737.0988767867 1013754.5203770957 1013755.0992384478 1013762.1457622153 1013747.7187562083 1013737.0988767867 ,7206551.208885392 7206564.032784535 7206563.214641973 7206554.3102122 7206543.179689155 7206551.208885392 ,Rüsdorfer Straße
93,93,167317673,1013534.53079939 1013536.0336125157 1013548.3232842993 1013552.475501306 1013538.6830163968 1013534.53079939 ,7206258.091455796 7206258.45294661 7206261.516106298 7206244.868513684 7206241.424844635 7206258.091455796 ,Berliner Straße
94,94,167317674,1013549.3362916656 1013532.6940277922 1013541.6663787499 1013553.577564265 1013558.3086426236 1013549.3362916656 ,7206692.139737851 7206704.450140153 7206716.589319255 7206707.779850425 7206704.259871041 7206692.139737851 ,Rüsdorfer Straße
95,95,167317675,1013407.370545057 1013417.7232577007 1013428.421060766 1013424.0684686758 1013418.0683481222 1013407.370545057 ,7206790.0336551275 7206806.111587003 7206799.185704628 7206792.431072467 7206783.107786911 7206790.0336551275 ,Rüsdorfer Straße
96,96,167317676,1013328.5786094734 1013326.8531573662 1013357.6775243669 1013360.2156087571 1013329.3912417563 1013328.5786094734 ,7206628.285780987 7206640.120414422 7206643.811605989 7206625.013184533 7206620.998547714 7206628.285780987 ,Rüsdorfer Straße
97,97,167317677,1013413.8159435738 1013417.3670353302 1013427.8644633121 1013431.5157426101 1013417.4560909228 1013413.8159435738 ,7206857.7704899805 7206858.28422663 7206859.806409497 7206834.671402654 7206832.616462422 7206857.7704899805 ,Stettiner Straße
98,98,167317678,1013681.6283745243 1013689.4430027781 1013695.5099150264 1013701.242868802 1013693.4282405485 1013681.6283745243 ,7206595.027131558 7206605.396661055 7206600.830261062 7206596.511210173 7206586.141692391 7206595.027131558 ,Rüsdorfer Straße
99,99,167317680,1013710.4489906908 1013716.671750226 1013725.8110804203 1013729.9632974268 1013714.5900757482 1013710.4489906908 ,7206308.319812618 7206309.803837127 7206311.991822497 7206294.678215795 7206290.987188089 7206308.319812618 ,Berliner Straße
100,100,167317682,1013440.7886561931 1013451.7536260361 1013462.5182207959 1013454.7147244914 1013451.5532509527 1013440.7886561931 ,7206769.370231187 7206786.799045588 7206779.987342788 7206767.600713981 7206762.558543483 7206769.370231187 ,Rüsdorfer Straße
101,101,167317683,1013325.0720455135 1013337.6622799223 1013337.6734118713 1013338.8311345755 1013326.0293931343 1013325.0720455135 ,7206837.772841243 7206838.495876181 7206834.1576675465 7206821.847062208 7206821.085974413 7206837.772841243 ,Rüsdorfer Straße
102,102,167317684,1013601.0664590372 1013609.159386018 1013620.4360504352 1013623.0409265197 1013614.9591314883 1013601.0664590372 ,7206654.067039067 7206664.170271003 7206655.132539375 7206653.03959248 7206642.955401605 7206654.067039067 ,Rüsdorfer Straße
103,103,167317685,1013375.9227889077 1013374.8541217963 1013379.3625611733 1013390.8284687252 1013391.8971358367 1013375.9227889077 ,7206825.785692733 7206836.15552649 7206836.612180034 7206837.791868477 7206827.422032563 7206825.785692733 ,Rüsdorfer Straße
104,104,167317688,1013430.3357560077 1013440.8999756838 1013447.7461243677 1013455.8056555012 1013446.8333045432 1013438.7849053588 1013437.1930366405 1013430.3357560077 ,7206728.5953283 7206744.1403783355 7206739.4787628 7206734.018016682 7206720.813301331 7206726.274038277 7206723.933721975 7206728.5953283 ,Rüsdorfer Straße
105,105,167317689,1013265.0151802306 1013270.9373771406 1013352.4009805033 1013355.7962249725 1013296.4852002779 1013268.4104246997 1013265.0151802306 ,7206733.314018332 7206734.056070654 7206744.444810469 7206717.788016644 7206710.215296545 7206706.638235316 7206733.314018332 ,Rüsdorfer Straße
106,106,167317690,1013301.2385425348 1013302.1736262573 1013298.2885760285 1013286.277202972 1013291.8320455627 1013291.7541219192 1013301.2385425348 ,7206864.487123657 7206840.037082458 7206824.434761269 7206827.136624429 7206851.415380114 7206864.563232852 7206864.487123657 ,Rüsdorfer Straße
107,107,167317698,1013583.1551529686 1013592.8622125657 1013597.6044228736 1013604.261328423 1013605.4747108727 1013595.7787832246 1013583.1551529686 ,7206666.377381779 7206679.372710372 7206675.852743697 7206670.82965885 7206669.954424697 7206656.959111665 7206666.377381779 ,Rüsdorfer Straße
108,108,167317699,1013328.1110676122 1013351.3434453406 1013353.1356891425 1013335.0796677358 1013334.8681607032 1013329.3801098072 1013328.1110676122 ,7206796.731203819 7206791.04209249 7206776.467331082 7206775.192516417 7206778.788635918 7206778.255877373 7206796.731203819 ,Rüsdorfer Straße
109,109,167317700,1013415.6861110193 1013422.8550862262 1013427.7086160248 1013430.4359435494 1013437.6049187564 1013427.6974840758 1013415.6861110193 ,7206741.952272742 7206751.503833814 7206747.85064574 7206751.484806789 7206746.100160387 7206732.914451725 7206741.952272742 ,Rüsdorfer Straße
110,110,167317701,1013392.6875042213 1013397.3295269873 1013407.2703575153 1013407.6377118349 1013410.2314559703 1013395.6374707273 1013392.6875042213 ,7206847.667009335 7206848.447126961 7206850.083471506 7206847.876309179 7206832.254945217 7206829.819461299 7206847.667009335 ,Stettiner Straße
