cycle,name,location.x,location.y,location.z,name,type,id,color,line,connected,momentToConnect,neighbors,connected_neighbors,individual_chance_to_connect
764,,328.460369530338,620.967047306243,0,,SON,167317590,"rgb (0, 255, 0,255)",nil,true,73,"[building(73),building(104)]","[building(73),building(104)]",0.105
764,,346.341062738997,585.505502380664,0,,EFH,167317592,"rgb (0, 255, 0,255)",nil,true,160,[],[],0.005
764,,718.610137875279,750.815354148624,0,,MFH,167317595,"rgb (0, 255, 0,255)",nil,true,320,[building(81)],[building(81)],0.055
764,,181.462981937861,510.067725452827,0,,EFH,167317596,"rgb (0, 255, 0,255)",nil,true,26,"[building(101),building(82),building(106)]","[building(82),building(101),building(106)]",0.155
764,,348.386558382306,663.520692801336,0,,SON,167317604,"rgb (0, 255, 0,255)",nil,true,33,"[building(73),building(85),building(131),building(121)]","[building(131),building(121),building(85),building(73)]",0.205
764,,443.731702246703,599.10981860105,0,,EFH,167317608,"rgb (0, 255, 0,255)",nil,true,258,[],[],0.005
764,,391.422673522989,986.01427547168,0,,EFH,167317611,"rgb (0, 255, 0,255)",nil,true,10,[],[],0.005
764,,218.117707268713,577.718688947381,0,,EFH,167317614,"rgb (0, 255, 0,255)",nil,true,80,"[building(108),building(105)]","[building(108),building(105)]",0.105
764,,571.774163544469,967.235536269844,0,,EFH,167317618,"rgb (0, 255, 0,255)",nil,true,340,[building(55)],[building(55)],0.055
764,,234.448276568175,506.010169691872,0,,EFH,167317620,"rgb (0, 255, 0,255)",nil,true,42,"[building(82),building(103)]","[building(103),building(82)]",0.105
764,,685.971263174724,900.358475130051,0,,MFH,167317623,"rgb (0, 255, 0,255)",nil,true,73,"[building(90),building(120),building(78)]","[building(120),building(78),building(90)]",0.155
764,,311.024954285007,467.061350689502,0,,MFH,167317625,"rgb (0, 255, 0,255)",nil,true,33,"[building(1),building(86),building(97)]","[building(97),building(1),building(86)]",0.155
764,,376.656143069267,608.418771460885,0,,EFH,167317627,"rgb (0, 255, 0,255)",nil,true,70,[building(69)],[building(69)],0.055
764,,393.896749205975,620.733971243026,0,,EFH,167317631,"rgb (0, 255, 0,255)",nil,true,31,"[building(94),building(68)]","[building(94),building(68)]",0.105
764,,709.877123822662,931.613831044175,0,,SON,167317633,"rgb (0, 255, 0,255)",nil,true,103,"[building(89),building(90)]","[building(90),building(89)]",0.105
764,,585.274434790394,821.303939141799,0,,EFH,167317635,"rgb (0, 255, 0,255)",nil,true,150,[],[],0.005
764,,366.467626674392,1085.06330551952,0,,MFH,167317639,"rgb (0, 255, 0,255)",nil,true,8,[building(87)],[building(87)],0.055
764,,346.908792142116,632.944500799524,0,,EFH,167317641,"rgb (0, 255, 0,255)",nil,true,49,"[building(60),building(85),building(56)]","[building(60),building(85),building(56)]",0.155
764,,325.591109655157,1101.61576173222,0,,EFH,167317642,"rgb (0, 255, 0,255)",nil,true,10,[building(87)],[building(87)],0.055
764,,445.685359310155,659.420410036575,0,,EFH,167317645,"rgb (0, 255, 0,255)",nil,true,12,"[building(112),building(107)]","[building(107),building(112)]",0.105
764,Raiffeisen Technik Westküste,535.247455627919,1052.85730364569,0,Raiffeisen Technik Westküste,SON,167317647,"rgb (0, 255, 0,255)",nil,true,42,[],[],0.005
764,,153.919756928284,547.52745873807,0,,EFH,167317648,"rgb (0, 255, 0,255)",nil,true,95,[building(88)],[building(88)],0.055
764,,665.925405870163,872.813161223428,0,,EFH,167317649,"rgb (0, 255, 0,255)",nil,true,77,[building(66)],[building(66)],0.055
764,,751.752733271744,839.740562759573,0,,M-MG,167317655,"rgb (0, 255, 0,255)",nil,true,36,[building(91)],[building(91)],0.055
764,,528.028386649967,718.37488585338,0,,EFH,167317657,"rgb (0, 255, 0,255)",nil,true,36,[building(119)],[building(119)],0.055
764,,699.31012115904,727.669427295448,0,,MFH,167317658,"rgb (0, 255, 0,255)",nil,true,331,[building(58)],[building(58)],0.055
764,,215.924713300134,509.82037185831,0,,EFH,167317659,"rgb (0, 255, 0,255)",nil,true,24,"[building(103),building(65),building(101),building(59)]","[building(103),building(101),building(59),building(65)]",0.205
764,,633.556480934727,798.462650445988,0,,EFH,167317660,"rgb (0, 255, 0,255)",nil,true,55,[building(92)],[building(92)],0.055
764,,553.629086545145,640.526725481497,0,,RH,167317663,"rgb (0, 255, 0,255)",nil,true,20,"[building(155),building(153),building(17),building(158)]","[building(153),building(158),building(155),building(17)]",0.205
764,,361.705935455771,646.639109449461,0,,EFH,167317664,"rgb (0, 255, 0,255)",nil,true,40,"[building(121),building(60),building(73),building(131)]","[building(131),building(121),building(60),building(73)]",0.205
764,,287.915027996089,437.511872594245,0,,EFH,167317665,"rgb (0, 255, 0,255)",nil,true,41,[building(67)],[building(67)],0.055
764,,347.980242240941,1104.41732199583,0,,EFH,167317666,"rgb (0, 255, 0,255)",nil,true,1,"[building(72),building(74)]","[building(72),building(74)]",0.105
764,,183.716088431398,549.789782608301,0,,MFH,167317667,"rgb (0, 255, 0,255)",nil,true,79,"[building(108),building(77)]","[building(108),building(77)]",0.105
764,,725.326877651067,958.906835344038,0,,SON,167317668,"rgb (0, 255, 0,255)",nil,true,97,"[building(70),building(90)]","[building(90),building(70)]",0.105
764,,721.122062185104,922.605872107297,0,,EFH,167317669,"rgb (0, 255, 0,255)",nil,true,86,"[building(66),building(70),building(89)]","[building(66),building(89),building(70)]",0.155
764,,711.858054161188,831.435530883446,0,,EFH,167317671,"rgb (0, 255, 0,255)",nil,true,32,"[building(79),building(113)]","[building(79),building(113)]",0.105
764,,619.318161464809,783.54204350505,0,,EFH,167317672,"rgb (0, 255, 0,255)",nil,true,53,"[building(83),building(115)]","[building(115),building(83)]",0.105
764,,410.01080209564,1085.86051275153,0,,EFH,167317673,"rgb (0, 255, 0,255)",nil,true,73,[building(54)],[building(54)],0.055
764,,415.118140333332,633.687502410822,0,,EFH,167317674,"rgb (0, 255, 0,255)",nil,true,22,"[building(112),building(69)]","[building(112),building(69)]",0.105
764,,287.131895378395,544.557324929908,0,,EFH,167317675,"rgb (0, 255, 0,255)",nil,true,163,[building(111)],[building(111)],0.055
764,,208.544787658006,707.085379426926,0,,MFH,167317676,"rgb (0, 255, 0,255)",nil,true,115,[],[],0.005
764,,289.605414463812,490.101487919502,0,,MFH,167317677,"rgb (0, 255, 0,255)",nil,true,6,"[building(110),building(67)]","[building(110),building(67)]",0.105
764,,560.25203964992,741.949894908071,0,,EFH,167317678,"rgb (0, 255, 0,255)",nil,true,45,[building(114)],[building(114)],0.055
764,,587.498598216497,1035.57511093076,0,,EFH,167317680,"rgb (0, 255, 0,255)",nil,true,763,[],[],0.005
764,,320.267255007918,565.468110750616,0,,EFH,167317682,"rgb (0, 255, 0,255)",nil,true,154,[building(111)],[building(111)],0.055
764,,201.055212317454,508.059401837736,0,,EFH,167317683,"rgb (0, 255, 0,255)",nil,true,25,"[building(82),building(59)]","[building(82),building(59)]",0.105
764,,481.733950013761,684.858317450061,0,,EFH,167317684,"rgb (0, 255, 0,255)",nil,true,9,"[building(116),building(107),building(119)]","[building(116),building(107),building(119)]",0.155
764,,250.574574601953,505.977826098539,0,,EFH,167317685,"rgb (0, 255, 0,255)",nil,true,23,"[building(65),building(110),building(82)]","[building(82),building(110),building(65)]",0.155
764,,310.515667614494,607.695065055841,0,,EFH,167317688,"rgb (0, 255, 0,255)",nil,true,75,"[building(109),building(56)]","[building(56),building(109)]",0.105
764,,169.509123951507,614.321878162678,0,,SON,167317689,"rgb (0, 255, 0,255)",nil,true,132,[building(63)],[building(63)],0.055
764,,163.262245193124,493.385585359453,0,,EFH,167317690,"rgb (0, 255, 0,255)",nil,true,28,[building(59)],[building(59)],0.055
764,,464.52432780222,668.84028097894,0,,EFH,167317698,"rgb (0, 255, 0,255)",nil,true,10,"[building(102),building(75),building(116)]","[building(116),building(102),building(75)]",0.155
764,,206.654582704282,555.985009972937,0,,MFH,167317699,"rgb (0, 255, 0,255)",nil,true,69,"[building(63),building(88)]","[building(88),building(63)]",0.105
764,,294.99958592271,593.430257623239,0,,EFH,167317700,"rgb (0, 255, 0,255)",nil,true,93,"[building(104),building(118)]","[building(104),building(118)]",0.105
764,,269.800563856824,496.039898907145,0,,EFH,167317701,"rgb (0, 255, 0,255)",nil,true,24,"[building(97),building(103)]","[building(97),building(103)]",0.105
764,,300.196350817937,554.510410844504,0,,EFH,167317704,"rgb (0, 255, 0,255)",nil,true,153,"[building(100),building(95)]","[building(100),building(95)]",0.105
764,,429.070925309303,639.789431196482,0,,EFH,167317706,"rgb (0, 255, 0,255)",nil,true,17,"[building(75),building(94)]","[building(75),building(94)]",0.105
764,,677.203925612363,822.020594819139,0,,E-MG,167317709,"rgb (0, 255, 0,255)",nil,true,59,[building(91)],[building(91)],0.055
