cycle;name;location.x;location.y;location.z;name;type;id;color;line;connected;momentToConnect;neighbors;connected_neighbors;individual_chance_to_connect
764;;162.449612910316;55.917865864466876;0.0;;M-MG;167228846;rgb (0, 255, 0,255);nil;true;16;[building(34),building(53)];[building(34),building(53)];0.10500000000000001
764;;251.59797178728817;41.20261803564305;0.0;;MFH;167228847;rgb (0, 255, 0,255);nil;true;12;[building(39),building(41),building(42)];[building(41),building(39),building(42)];0.15500000000000003
764;;53.608836112097684;100.41226766553397;0.0;;MFH;167228848;rgb (0, 255, 0,255);nil;true;27;[building(36),building(32),building(33),building(35),building(38)];[building(36),building(33),building(38),building(35),building(32)];0.255
764;;366.69861461779027;47.951340100262314;0.0;;EIK;167228849;rgb (0, 255, 0,255);nil;true;50;[building(44),building(37),building(52)];[building(37),building(44),building(52)];0.15500000000000003
764;expert;396.8612490899007;52.81408895417634;0.0;expert;EIK;167228850;rgb (0, 255, 0,255);nil;true;77;[building(51),building(40)];[building(51),building(40)];0.10500000000000001
764;;149.44749638566282;66.12125910073519;0.0;;MFH;167228856;rgb (0, 255, 0,255);nil;true;17;[building(48),building(46)];[building(48),building(46)];0.10500000000000001
764;;428.7443881363198;1052.093775156442;0.0;;EFH;167317584;rgb (0, 255, 0,255);nil;true;68;[building(93)];[building(93)];0.055
764;;562.3537516360811;932.1703440919518;0.0;;EFH;167317588;rgb (0, 255, 0,255);nil;true;373;[building(64)];[building(64)];0.055
764;;328.46036953033763;620.9670473062433;0.0;;SON;167317590;rgb (0, 255, 0,255);nil;true;73;[building(73),building(104)];[building(73),building(104)];0.10500000000000001
764;;346.3410627389967;585.5055023806635;0.0;;EFH;167317592;rgb (0, 255, 0,255);nil;true;160;[];[];0.005
764;;718.6101378752792;750.8153541486245;0.0;;MFH;167317595;rgb (0, 255, 0,255);nil;true;320;[building(81)];[building(81)];0.055
764;;181.4629819378606;510.0677254528273;0.0;;EFH;167317596;rgb (0, 255, 0,255);nil;true;26;[building(101),building(82),building(106)];[building(82),building(101),building(106)];0.15500000000000003
764;;348.38655838230625;663.5206928013358;0.0;;SON;167317604;rgb (0, 255, 0,255);nil;true;33;[building(73),building(85),building(131),building(121)];[building(131),building(121),building(85),building(73)];0.20500000000000002
764;;443.7317022467032;599.1098186010495;0.0;;EFH;167317608;rgb (0, 255, 0,255);nil;true;258;[];[];0.005
764;;391.4226735229895;986.0142754716799;0.0;;EFH;167317611;rgb (0, 255, 0,255);nil;true;10;[];[];0.005
764;;218.11770726871327;577.7186889473815;0.0;;EFH;167317614;rgb (0, 255, 0,255);nil;true;80;[building(108),building(105)];[building(108),building(105)];0.10500000000000001
764;;571.774163544469;967.2355362698436;0.0;;EFH;167317618;rgb (0, 255, 0,255);nil;true;340;[building(55)];[building(55)];0.055
764;;234.44827656817506;506.01016969187185;0.0;;EFH;167317620;rgb (0, 255, 0,255);nil;true;42;[building(82),building(103)];[building(103),building(82)];0.10500000000000001
764;;685.9712631747243;900.3584751300514;0.0;;MFH;167317623;rgb (0, 255, 0,255);nil;true;73;[building(90),building(120),building(78)];[building(120),building(78),building(90)];0.15500000000000003
764;;311.02495428500697;467.06135068950243;0.0;;MFH;167317625;rgb (0, 255, 0,255);nil;true;33;[building(1),building(86),building(97)];[building(97),building(1),building(86)];0.15500000000000003
764;;376.6561430692673;608.4187714608852;0.0;;EFH;167317627;rgb (0, 255, 0,255);nil;true;70;[building(69)];[building(69)];0.055
764;;393.89674920597463;620.7339712430257;0.0;;EFH;167317631;rgb (0, 255, 0,255);nil;true;31;[building(94),building(68)];[building(94),building(68)];0.10500000000000001
764;;709.8771238226618;931.6138310441747;0.0;;SON;167317633;rgb (0, 255, 0,255);nil;true;103;[building(89),building(90)];[building(90),building(89)];0.10500000000000001
764;;585.2744347903936;821.3039391417988;0.0;;EFH;167317635;rgb (0, 255, 0,255);nil;true;150;[];[];0.005
764;;366.4676266743918;1085.0633055195212;0.0;;MFH;167317639;rgb (0, 255, 0,255);nil;true;8;[building(87)];[building(87)];0.055
764;;346.908792142116;632.9445007995237;0.0;;EFH;167317641;rgb (0, 255, 0,255);nil;true;49;[building(60),building(85),building(56)];[building(60),building(85),building(56)];0.15500000000000003
764;;325.5911096551572;1101.615761732217;0.0;;EFH;167317642;rgb (0, 255, 0,255);nil;true;10;[building(87)];[building(87)];0.055
764;;445.68535931015504;659.420410036575;0.0;;EFH;167317645;rgb (0, 255, 0,255);nil;true;12;[building(112),building(107)];[building(107),building(112)];0.10500000000000001
764;Raiffeisen Technik Westküste;535.2474556279194;1052.8573036456946;0.0;Raiffeisen Technik Westküste;SON;167317647;rgb (0, 255, 0,255);nil;true;42;[];[];0.005
764;;153.9197569282842;547.52745873807;0.0;;EFH;167317648;rgb (0, 255, 0,255);nil;true;95;[building(88)];[building(88)];0.055
764;;665.9254058701626;872.8131612234283;0.0;;EFH;167317649;rgb (0, 255, 0,255);nil;true;77;[building(66)];[building(66)];0.055
764;;751.7527332717436;839.7405627595726;0.0;;M-MG;167317655;rgb (0, 255, 0,255);nil;true;36;[building(91)];[building(91)];0.055
764;;528.0283866499667;718.37488585338;0.0;;EFH;167317657;rgb (0, 255, 0,255);nil;true;36;[building(119)];[building(119)];0.055
